accel,battery,light,lock,noti_pendding,noti_posted,noti_removed,proximity,ringer,screen_on,state,timestamp,unlock_duration
9893.0,2.0,11.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,-1.0,1463755323510.0,-1.0
19893.0,2.0,9.0,-1.0,0.0,2119.0,2101.0,5.0,2.0,0.0,-1.0,1463755333510.0,-1.0
29893.0,2.0,11.0,-1.0,0.0,12119.0,12101.0,5.0,2.0,0.0,-1.0,1463755343510.0,-1.0
39893.0,2.0,9.0,-1.0,0.0,22119.0,22101.0,5.0,2.0,0.0,-1.0,1463755353510.0,-1.0
6970.0,2.0,23.0,-1.0,0.0,32119.0,32101.0,5.0,2.0,0.0,-1.0,1463755363510.0,-1.0
16970.0,2.0,23.0,-1.0,1.0,4978.0,42101.0,5.0,2.0,0.0,-1.0,1463755373510.0,-1.0
26970.0,2.0,23.0,-1.0,1.0,14978.0,52101.0,5.0,2.0,0.0,-1.0,1463755383510.0,-1.0
36970.0,2.0,23.0,-1.0,1.0,24978.0,62101.0,5.0,2.0,0.0,-1.0,1463755393510.0,-1.0
1047.0,3.0,9.0,-1.0,1.0,34978.0,72101.0,5.0,2.0,1.0,-1.0,1463755403510.0,-1.0
4029.0,3.0,0.0,-1.0,1.0,44978.0,9583.0,0.0,2.0,1.0,-1.0,1463755413510.0,-1.0
14029.0,3.0,0.0,-1.0,1.0,54978.0,19583.0,0.0,2.0,1.0,-1.0,1463755423510.0,-1.0
24029.0,3.0,0.0,-1.0,1.0,64978.0,29583.0,0.0,2.0,1.0,-1.0,1463755433510.0,-1.0
34029.0,3.0,0.0,-1.0,1.0,74978.0,39583.0,0.0,2.0,1.0,-1.0,1463755443510.0,-1.0
44029.0,3.0,0.0,-1.0,1.0,84978.0,49583.0,0.0,2.0,1.0,-1.0,1463755453510.0,-1.0
54029.0,3.0,0.0,-1.0,2.0,1685.0,707.0,0.0,2.0,1.0,-1.0,1463755463510.0,-1.0
64029.0,3.0,0.0,-1.0,2.0,11685.0,10707.0,0.0,2.0,1.0,-1.0,1463755473510.0,-1.0
74029.0,3.0,0.0,-1.0,4.0,5699.0,20707.0,0.0,2.0,1.0,-1.0,1463755483510.0,-1.0
84029.0,3.0,0.0,-1.0,4.0,6662.0,30707.0,0.0,2.0,1.0,-1.0,1463755493510.0,-1.0
2663.0,3.0,23.0,-1.0,4.0,16662.0,40707.0,5.0,2.0,2.0,-1.0,1463755503510.0,-1.0
1779.0,3.0,0.0,-1.0,1.0,26662.0,6113.0,0.0,2.0,2.0,-1.0,1463755513510.0,-1.0
11779.0,3.0,0.0,-1.0,1.0,36662.0,16113.0,0.0,2.0,2.0,-1.0,1463755523510.0,-1.0
21779.0,3.0,0.0,-1.0,1.0,46662.0,26113.0,0.0,2.0,2.0,-1.0,1463755533510.0,-1.0
31779.0,3.0,0.0,-1.0,1.0,56662.0,36113.0,0.0,2.0,2.0,-1.0,1463755543510.0,-1.0
41779.0,3.0,0.0,-1.0,3.0,8819.0,46113.0,0.0,2.0,2.0,-1.0,1463755553510.0,-1.0
51779.0,3.0,0.0,-1.0,3.0,18819.0,56113.0,0.0,2.0,2.0,-1.0,1463755563510.0,-1.0
61779.0,3.0,0.0,-1.0,3.0,28819.0,66113.0,0.0,2.0,2.0,-1.0,1463755573510.0,-1.0
71779.0,3.0,0.0,-1.0,3.0,38819.0,76113.0,0.0,2.0,2.0,-1.0,1463755583510.0,-1.0
81779.0,3.0,0.0,-1.0,3.0,48819.0,86113.0,0.0,2.0,2.0,-1.0,1463755593510.0,-1.0
91779.0,3.0,0.0,-1.0,3.0,58819.0,96113.0,0.0,2.0,2.0,-1.0,1463755603510.0,-1.0
101779.0,3.0,0.0,-1.0,3.0,68819.0,106113.0,0.0,2.0,2.0,-1.0,1463755613510.0,-1.0
111779.0,3.0,0.0,-1.0,3.0,78819.0,116113.0,0.0,2.0,2.0,-1.0,1463755623510.0,-1.0
121779.0,3.0,0.0,-1.0,3.0,88819.0,126113.0,0.0,2.0,2.0,-1.0,1463755633510.0,-1.0
131779.0,3.0,0.0,-1.0,3.0,98819.0,136113.0,0.0,2.0,2.0,-1.0,1463755643510.0,-1.0
141779.0,3.0,0.0,-1.0,3.0,108819.0,146113.0,0.0,2.0,2.0,-1.0,1463755653510.0,-1.0
151779.0,3.0,0.0,-1.0,3.0,118819.0,156113.0,0.0,2.0,2.0,-1.0,1463755663510.0,-1.0
161779.0,3.0,0.0,-1.0,3.0,546.0,166113.0,0.0,2.0,2.0,-1.0,1463755673510.0,-1.0
171779.0,3.0,0.0,-1.0,3.0,8853.0,176113.0,0.0,2.0,2.0,-1.0,1463755683510.0,-1.0
181779.0,3.0,0.0,-1.0,3.0,18853.0,186113.0,0.0,2.0,2.0,-1.0,1463755693510.0,-1.0
191779.0,3.0,0.0,-1.0,3.0,28853.0,196113.0,0.0,2.0,2.0,-1.0,1463755703510.0,-1.0
201779.0,3.0,0.0,-1.0,3.0,4004.0,206113.0,0.0,2.0,2.0,-1.0,1463755713510.0,-1.0
211779.0,3.0,0.0,-1.0,3.0,14004.0,216113.0,0.0,2.0,2.0,-1.0,1463755723510.0,-1.0
221779.0,3.0,0.0,-1.0,3.0,24004.0,226113.0,0.0,2.0,2.0,-1.0,1463755733510.0,-1.0
231779.0,3.0,0.0,-1.0,3.0,1852.0,236113.0,0.0,2.0,2.0,-1.0,1463755743510.0,-1.0
241779.0,3.0,0.0,-1.0,3.0,11852.0,246113.0,0.0,2.0,2.0,-1.0,1463755753510.0,-1.0
251779.0,3.0,0.0,-1.0,3.0,21852.0,256113.0,0.0,2.0,2.0,-1.0,1463755763510.0,-1.0
261779.0,3.0,0.0,-1.0,3.0,31852.0,266113.0,0.0,2.0,2.0,-1.0,1463755773510.0,-1.0
271779.0,3.0,0.0,-1.0,3.0,41852.0,276113.0,0.0,2.0,2.0,-1.0,1463755783510.0,-1.0
281779.0,3.0,0.0,-1.0,3.0,51852.0,286113.0,0.0,2.0,2.0,-1.0,1463755793510.0,-1.0
291779.0,3.0,0.0,-1.0,3.0,61852.0,296113.0,0.0,2.0,2.0,-1.0,1463755803510.0,-1.0
301779.0,3.0,0.0,-1.0,3.0,71852.0,306113.0,0.0,2.0,2.0,-1.0,1463755813510.0,-1.0
311779.0,3.0,0.0,-1.0,3.0,81852.0,316113.0,0.0,2.0,2.0,-1.0,1463755823510.0,-1.0
321779.0,3.0,0.0,-1.0,3.0,91852.0,326113.0,0.0,2.0,2.0,-1.0,1463755833510.0,-1.0
331779.0,3.0,0.0,-1.0,3.0,101852.0,336113.0,0.0,2.0,2.0,-1.0,1463755843510.0,-1.0
341779.0,3.0,0.0,-1.0,3.0,111852.0,346113.0,0.0,2.0,2.0,-1.0,1463755853510.0,-1.0
351779.0,3.0,0.0,-1.0,3.0,121852.0,356113.0,0.0,2.0,2.0,-1.0,1463755863510.0,-1.0
361779.0,3.0,0.0,-1.0,3.0,131852.0,366113.0,0.0,2.0,2.0,-1.0,1463755873510.0,-1.0
371779.0,3.0,0.0,-1.0,3.0,141852.0,376113.0,0.0,2.0,2.0,-1.0,1463755883510.0,-1.0
381779.0,3.0,0.0,-1.0,3.0,151852.0,386113.0,0.0,2.0,2.0,-1.0,1463755893510.0,-1.0
391779.0,3.0,0.0,-1.0,3.0,161852.0,396113.0,0.0,2.0,2.0,-1.0,1463755903510.0,-1.0
401779.0,3.0,0.0,-1.0,4.0,3166.0,406113.0,0.0,2.0,2.0,-1.0,1463755913510.0,-1.0
