accel,battery,light,lock,noti_pendding,noti_posted,noti_removed,proximity,ringer,screen_on,state,timestamp,unlock_duration
9541.0,2.0,30.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,-1.0,1463665149648.0,-1.0
1485.0,2.0,13.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,-1.0,1463665159648.0,-1.0
431.0,2.0,42.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,-1.0,1463665169648.0,-1.0
6409.0,2.0,45.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,-1.0,1463665179648.0,-1.0
7965.0,2.0,38.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,-1.0,1463665189648.0,-1.0
6019.0,2.0,31.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,-1.0,1463665199648.0,-1.0
7492.0,2.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,2.0,0.0,-1.0,1463665209648.0,-1.0
17492.0,2.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,2.0,0.0,-1.0,1463665219648.0,-1.0
27492.0,2.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,2.0,0.0,-1.0,1463665229648.0,-1.0
37492.0,2.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,2.0,0.0,-1.0,1463665239648.0,-1.0
47492.0,2.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,2.0,0.0,-1.0,1463665249648.0,-1.0
57492.0,2.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,2.0,0.0,-1.0,1463665259648.0,-1.0
67492.0,2.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,2.0,0.0,-1.0,1463665269648.0,-1.0
77492.0,2.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,2.0,0.0,-1.0,1463665279648.0,-1.0
87492.0,2.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,2.0,0.0,-1.0,1463665289648.0,-1.0
97492.0,2.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,2.0,0.0,-1.0,1463665299648.0,-1.0
106.0,2.0,15.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,1.0,-1.0,1463665309648.0,-1.0
2057.0,2.0,17.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,3.0,-1.0,1463665319648.0,-1.0
146.0,2.0,100.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,3.0,-1.0,1463665329648.0,-1.0
9944.0,2.0,40.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,3.0,-1.0,1463665339648.0,-1.0
19944.0,2.0,39.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,3.0,-1.0,1463665349648.0,-1.0
29944.0,2.0,39.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,3.0,-1.0,1463665359648.0,-1.0
39944.0,2.0,39.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,3.0,-1.0,1463665369648.0,-1.0
49944.0,2.0,39.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,3.0,-1.0,1463665379648.0,-1.0
59944.0,2.0,39.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,3.0,-1.0,1463665389648.0,-1.0
69944.0,2.0,39.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,3.0,-1.0,1463665399648.0,-1.0
79944.0,2.0,12.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,1.0,1463665409648.0,-1.0
6079.0,2.0,19.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,1.0,1463665419648.0,-1.0
4598.0,2.0,30.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,1.0,1463665429648.0,-1.0
14598.0,2.0,22.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,1.0,1463665439648.0,-1.0
24598.0,2.0,33.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,1.0,1463665449648.0,-1.0
34598.0,2.0,14.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,1.0,1463665459648.0,-1.0
44598.0,2.0,18.0,-1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,1.0,1463665469648.0,-1.0
731.0,3.0,12.0,-1.0,0.0,-1.0,3129.0,5.0,2.0,0.0,1.0,1463665479648.0,-1.0
1279.0,3.0,28.0,-1.0,0.0,-1.0,13129.0,5.0,2.0,0.0,1.0,1463665489648.0,-1.0
6656.0,3.0,37.0,-1.0,0.0,-1.0,23129.0,5.0,2.0,0.0,1.0,1463665499648.0,-1.0
16656.0,3.0,16.0,-1.0,0.0,-1.0,33129.0,5.0,2.0,0.0,1.0,1463665509648.0,-1.0
26656.0,3.0,17.0,-1.0,0.0,-1.0,43129.0,5.0,2.0,0.0,1.0,1463665519648.0,-1.0
36656.0,3.0,29.0,-1.0,0.0,-1.0,53129.0,5.0,2.0,0.0,1.0,1463665529648.0,-1.0
8.0,3.0,52.0,-1.0,0.0,-1.0,63129.0,5.0,2.0,0.0,1.0,1463665539648.0,-1.0
654.0,3.0,107.0,9985.0,0.0,-1.0,73129.0,5.0,2.0,0.0,1.0,1463665549648.0,134815.0
96.0,3.0,21.0,4972.0,0.0,-1.0,83129.0,5.0,2.0,0.0,2.0,1463665559648.0,8706.0
9896.0,3.0,32.0,14972.0,0.0,-1.0,93129.0,5.0,2.0,0.0,2.0,1463665569648.0,8706.0
19896.0,3.0,32.0,24972.0,0.0,-1.0,103129.0,5.0,2.0,0.0,2.0,1463665579648.0,8706.0
29896.0,3.0,32.0,34972.0,0.0,-1.0,113129.0,5.0,2.0,0.0,2.0,1463665589648.0,8706.0
8646.0,3.0,2.0,44972.0,0.0,-1.0,123129.0,0.0,2.0,1.0,2.0,1463665599648.0,8706.0
1571.0,3.0,19.0,54972.0,0.0,-1.0,133129.0,5.0,2.0,0.0,1.0,1463665609648.0,8706.0
7931.0,3.0,15.0,64972.0,0.0,-1.0,143129.0,5.0,2.0,0.0,1.0,1463665619648.0,8706.0
2904.0,3.0,13.0,74972.0,0.0,-1.0,153129.0,5.0,2.0,0.0,1.0,1463665629648.0,8706.0
2348.0,3.0,154.0,5342.0,0.0,-1.0,163129.0,5.0,2.0,1.0,3.0,1463665639648.0,27521.0
99.0,3.0,13.0,15342.0,0.0,-1.0,173129.0,5.0,2.0,1.0,3.0,1463665649648.0,27521.0
10099.0,3.0,13.0,25342.0,0.0,-1.0,183129.0,5.0,2.0,1.0,3.0,1463665659648.0,27521.0
20099.0,3.0,33.0,35342.0,0.0,-1.0,193129.0,5.0,2.0,1.0,2.0,1463665669648.0,27521.0
30099.0,3.0,33.0,45342.0,0.0,-1.0,203129.0,5.0,2.0,1.0,2.0,1463665679648.0,27521.0
40099.0,3.0,33.0,55342.0,0.0,-1.0,213129.0,5.0,2.0,1.0,2.0,1463665689648.0,27521.0
7047.0,3.0,30.0,65342.0,0.0,-1.0,223129.0,5.0,2.0,1.0,2.0,1463665699648.0,27521.0
17047.0,3.0,30.0,75342.0,0.0,-1.0,233129.0,5.0,2.0,1.0,2.0,1463665709648.0,27521.0
27047.0,3.0,30.0,85342.0,0.0,-1.0,243129.0,5.0,2.0,1.0,2.0,1463665719648.0,27521.0
1020.0,3.0,32.0,1069.0,0.0,-1.0,253129.0,0.0,2.0,0.0,3.0,1463665729648.0,3782.0
11020.0,3.0,33.0,11069.0,0.0,-1.0,263129.0,0.0,2.0,0.0,3.0,1463665739648.0,3782.0
21020.0,3.0,33.0,21069.0,0.0,-1.0,273129.0,0.0,2.0,0.0,3.0,1463665749648.0,3782.0
31020.0,3.0,33.0,31069.0,0.0,-1.0,283129.0,0.0,2.0,0.0,3.0,1463665759648.0,3782.0
41020.0,3.0,33.0,41069.0,0.0,-1.0,293129.0,0.0,2.0,0.0,3.0,1463665769648.0,3782.0
51020.0,3.0,33.0,51069.0,0.0,-1.0,303129.0,0.0,2.0,0.0,3.0,1463665779648.0,3782.0
61020.0,3.0,33.0,61069.0,0.0,-1.0,313129.0,0.0,2.0,0.0,3.0,1463665789648.0,3782.0
71020.0,3.0,32.0,71069.0,1.0,1204.0,323129.0,0.0,2.0,0.0,3.0,1463665799648.0,3782.0
81020.0,3.0,32.0,81069.0,1.0,11204.0,333129.0,0.0,2.0,0.0,3.0,1463665809648.0,3782.0
91020.0,3.0,32.0,91069.0,1.0,21204.0,343129.0,0.0,2.0,0.0,3.0,1463665819648.0,3782.0
101020.0,3.0,32.0,101069.0,1.0,31204.0,353129.0,0.0,2.0,0.0,3.0,1463665829648.0,3782.0
111020.0,3.0,32.0,111069.0,1.0,41204.0,363129.0,0.0,2.0,0.0,3.0,1463665839648.0,3782.0
121020.0,3.0,33.0,121069.0,1.0,51204.0,373129.0,0.0,2.0,0.0,3.0,1463665849648.0,3782.0
131020.0,3.0,33.0,131069.0,1.0,61204.0,383129.0,0.0,2.0,0.0,3.0,1463665859648.0,3782.0
141020.0,3.0,33.0,141069.0,1.0,71204.0,393129.0,0.0,2.0,0.0,3.0,1463665869648.0,3782.0
151020.0,3.0,33.0,151069.0,1.0,81204.0,403129.0,0.0,2.0,0.0,3.0,1463665879648.0,3782.0
161020.0,3.0,33.0,161069.0,1.0,91204.0,413129.0,0.0,2.0,0.0,3.0,1463665889648.0,3782.0
171020.0,3.0,33.0,171069.0,1.0,101204.0,423129.0,0.0,2.0,0.0,3.0,1463665899648.0,3782.0
181020.0,3.0,33.0,181069.0,1.0,111204.0,433129.0,0.0,2.0,0.0,3.0,1463665909648.0,3782.0
191020.0,3.0,33.0,191069.0,1.0,121204.0,443129.0,0.0,2.0,0.0,3.0,1463665919648.0,3782.0
201020.0,3.0,33.0,201069.0,1.0,131204.0,453129.0,0.0,2.0,0.0,3.0,1463665929648.0,3782.0
211020.0,3.0,33.0,211069.0,1.0,141204.0,463129.0,0.0,2.0,0.0,3.0,1463665939648.0,3782.0
221020.0,3.0,33.0,221069.0,1.0,151204.0,473129.0,0.0,2.0,0.0,3.0,1463665949648.0,3782.0
231020.0,3.0,33.0,231069.0,1.0,161204.0,483129.0,0.0,2.0,0.0,3.0,1463665959648.0,3782.0
241020.0,3.0,33.0,241069.0,1.0,171204.0,493129.0,0.0,2.0,0.0,3.0,1463665969648.0,3782.0
251020.0,3.0,33.0,251069.0,1.0,181204.0,503129.0,0.0,2.0,0.0,3.0,1463665979648.0,3782.0
261020.0,3.0,33.0,261069.0,1.0,191204.0,513129.0,0.0,2.0,0.0,3.0,1463665989648.0,3782.0
271020.0,3.0,33.0,271069.0,1.0,201204.0,523129.0,0.0,2.0,0.0,3.0,1463665999648.0,3782.0
281020.0,3.0,33.0,281069.0,1.0,211204.0,533129.0,0.0,2.0,0.0,3.0,1463666009648.0,3782.0
291020.0,3.0,33.0,291069.0,1.0,221204.0,543129.0,0.0,2.0,0.0,3.0,1463666019648.0,3782.0
301020.0,3.0,33.0,301069.0,1.0,231204.0,553129.0,0.0,2.0,0.0,3.0,1463666029648.0,3782.0
311020.0,3.0,33.0,311069.0,1.0,241204.0,563129.0,0.0,2.0,0.0,2.0,1463666039648.0,3782.0
321020.0,3.0,33.0,321069.0,1.0,251204.0,573129.0,0.0,2.0,0.0,2.0,1463666049648.0,3782.0
331020.0,3.0,33.0,331069.0,1.0,261204.0,583129.0,0.0,2.0,0.0,2.0,1463666059648.0,3782.0
341020.0,3.0,33.0,341069.0,1.0,271204.0,593129.0,0.0,2.0,0.0,2.0,1463666069648.0,3782.0
351020.0,3.0,33.0,351069.0,1.0,281204.0,603129.0,0.0,2.0,0.0,2.0,1463666079648.0,3782.0
361020.0,3.0,33.0,361069.0,1.0,291204.0,613129.0,0.0,2.0,0.0,2.0,1463666089648.0,3782.0
3251.0,3.0,8.0,371069.0,1.0,301204.0,623129.0,0.0,2.0,0.0,1.0,1463666099648.0,3782.0
13251.0,3.0,11.0,381069.0,1.0,311204.0,633129.0,0.0,2.0,0.0,1.0,1463666109648.0,3782.0
9348.0,3.0,25.0,391069.0,1.0,321204.0,643129.0,0.0,2.0,0.0,1.0,1463666119648.0,3782.0
16.0,3.0,2530.0,401069.0,1.0,331204.0,653129.0,5.0,2.0,0.0,1.0,1463666129648.0,3782.0
9407.0,3.0,397.0,411069.0,1.0,341204.0,663129.0,5.0,2.0,0.0,1.0,1463666139648.0,3782.0
622.0,3.0,10.0,3302.0,1.0,351204.0,673129.0,5.0,2.0,0.0,3.0,1463666149648.0,48523.0
10622.0,3.0,10.0,13302.0,1.0,361204.0,683129.0,5.0,2.0,0.0,3.0,1463666159648.0,48523.0
20622.0,3.0,10.0,23302.0,1.0,371204.0,693129.0,5.0,2.0,0.0,2.0,1463666169648.0,48523.0
30622.0,3.0,10.0,33302.0,1.0,381204.0,703129.0,5.0,2.0,0.0,2.0,1463666179648.0,48523.0
40622.0,3.0,10.0,43302.0,1.0,391204.0,713129.0,5.0,2.0,0.0,2.0,1463666189648.0,48523.0
50622.0,3.0,8.0,53302.0,1.0,401204.0,723129.0,0.0,2.0,0.0,2.0,1463666199648.0,48523.0
6213.0,3.0,3.0,63302.0,1.0,411204.0,733129.0,5.0,2.0,0.0,2.0,1463666209648.0,48523.0
426.0,3.0,9.0,73302.0,1.0,421204.0,743129.0,5.0,2.0,1.0,2.0,1463666219648.0,48523.0
9941.0,3.0,8.0,83302.0,0.0,431204.0,7419.0,5.0,2.0,0.0,1.0,1463666229648.0,48523.0
19941.0,3.0,7.0,93302.0,0.0,441204.0,17419.0,5.0,2.0,0.0,1.0,1463666239648.0,48523.0
29941.0,3.0,7.0,103302.0,0.0,451204.0,27419.0,5.0,2.0,0.0,1.0,1463666249648.0,48523.0
39941.0,3.0,6.0,113302.0,0.0,461204.0,37419.0,5.0,2.0,0.0,1.0,1463666259648.0,48523.0
5232.0,3.0,8.0,8085.0,0.0,471204.0,47419.0,5.0,2.0,0.0,1.0,1463666269648.0,40535.0
15232.0,3.0,9.0,18085.0,0.0,481204.0,57419.0,5.0,2.0,0.0,1.0,1463666279648.0,40535.0
25232.0,3.0,10.0,28085.0,0.0,491204.0,67419.0,5.0,2.0,0.0,1.0,1463666289648.0,40535.0
35232.0,3.0,8.0,38085.0,0.0,501204.0,77419.0,5.0,2.0,0.0,1.0,1463666299648.0,40535.0
45232.0,3.0,8.0,48085.0,0.0,511204.0,87419.0,5.0,2.0,0.0,1.0,1463666309648.0,40535.0
55232.0,3.0,8.0,58085.0,0.0,521204.0,97419.0,5.0,2.0,0.0,1.0,1463666319648.0,40535.0
65232.0,3.0,10.0,68085.0,0.0,531204.0,107419.0,5.0,2.0,0.0,1.0,1463666329648.0,40535.0
75232.0,3.0,10.0,78085.0,0.0,541204.0,117419.0,5.0,2.0,0.0,1.0,1463666339648.0,40535.0
85232.0,3.0,8.0,88085.0,0.0,551204.0,127419.0,5.0,2.0,0.0,1.0,1463666349648.0,40535.0
95232.0,3.0,9.0,98085.0,0.0,561204.0,137419.0,5.0,2.0,0.0,1.0,1463666359648.0,40535.0
105232.0,3.0,10.0,108085.0,0.0,571204.0,147419.0,5.0,2.0,0.0,1.0,1463666369648.0,40535.0
2614.0,3.0,7.0,7082.0,0.0,581204.0,157419.0,5.0,2.0,1.0,3.0,1463666379648.0,109422.0
12614.0,3.0,7.0,17082.0,0.0,591204.0,167419.0,5.0,2.0,1.0,3.0,1463666389648.0,109422.0
22614.0,3.0,28.0,27082.0,0.0,601204.0,177419.0,5.0,2.0,1.0,3.0,1463666399648.0,109422.0
32614.0,3.0,28.0,37082.0,0.0,611204.0,187419.0,5.0,2.0,1.0,3.0,1463666409648.0,109422.0
42614.0,3.0,28.0,47082.0,0.0,621204.0,197419.0,5.0,2.0,1.0,3.0,1463666419648.0,109422.0
52614.0,3.0,29.0,57082.0,0.0,631204.0,207419.0,5.0,2.0,1.0,3.0,1463666429648.0,109422.0
62614.0,3.0,29.0,67082.0,0.0,641204.0,217419.0,5.0,2.0,1.0,3.0,1463666439648.0,109422.0
72614.0,3.0,29.0,77082.0,0.0,651204.0,227419.0,5.0,2.0,1.0,3.0,1463666449648.0,109422.0
82614.0,3.0,29.0,87082.0,0.0,661204.0,237419.0,5.0,2.0,1.0,3.0,1463666459648.0,109422.0
92614.0,3.0,29.0,97082.0,0.0,671204.0,247419.0,5.0,2.0,1.0,3.0,1463666469648.0,109422.0
102614.0,3.0,29.0,107082.0,0.0,681204.0,257419.0,5.0,2.0,1.0,3.0,1463666479648.0,109422.0
112614.0,3.0,29.0,117082.0,0.0,691204.0,267419.0,5.0,2.0,1.0,3.0,1463666489648.0,109422.0
122614.0,3.0,26.0,127082.0,0.0,701204.0,277419.0,5.0,2.0,1.0,3.0,1463666499648.0,109422.0
132614.0,3.0,26.0,137082.0,0.0,711204.0,287419.0,5.0,2.0,1.0,3.0,1463666509648.0,109422.0
142614.0,3.0,26.0,147082.0,0.0,721204.0,297419.0,5.0,2.0,1.0,3.0,1463666519648.0,109422.0
152614.0,3.0,26.0,157082.0,0.0,731204.0,307419.0,5.0,2.0,1.0,3.0,1463666529648.0,109422.0
162614.0,3.0,26.0,167082.0,0.0,741204.0,317419.0,5.0,2.0,1.0,3.0,1463666539648.0,109422.0
172614.0,3.0,26.0,177082.0,0.0,751204.0,327419.0,5.0,2.0,1.0,3.0,1463666549648.0,109422.0
182614.0,3.0,26.0,187082.0,0.0,761204.0,337419.0,5.0,2.0,1.0,3.0,1463666559648.0,109422.0
192614.0,3.0,26.0,197082.0,0.0,771204.0,347419.0,5.0,2.0,1.0,3.0,1463666569648.0,109422.0
202614.0,3.0,26.0,207082.0,0.0,781204.0,357419.0,5.0,2.0,1.0,2.0,1463666579648.0,109422.0
212614.0,3.0,29.0,217082.0,0.0,791204.0,367419.0,5.0,2.0,1.0,2.0,1463666589648.0,109422.0
222614.0,3.0,29.0,227082.0,0.0,801204.0,377419.0,5.0,2.0,1.0,2.0,1463666599648.0,109422.0
232614.0,3.0,29.0,237082.0,0.0,811204.0,387419.0,5.0,2.0,1.0,2.0,1463666609648.0,109422.0
242614.0,3.0,29.0,247082.0,0.0,821204.0,397419.0,5.0,2.0,1.0,2.0,1463666619648.0,109422.0
252614.0,3.0,29.0,257082.0,0.0,831204.0,407419.0,5.0,2.0,1.0,2.0,1463666629648.0,109422.0
6581.0,3.0,11.0,267082.0,0.0,841204.0,417419.0,5.0,2.0,0.0,1.0,1463666639648.0,109422.0
16581.0,3.0,23.0,277082.0,0.0,851204.0,427419.0,5.0,2.0,0.0,1.0,1463666649648.0,109422.0
26581.0,3.0,11.0,287082.0,0.0,861204.0,437419.0,5.0,2.0,0.0,1.0,1463666659648.0,109422.0
244.0,3.0,78.0,297082.0,0.0,871204.0,447419.0,5.0,2.0,0.0,1.0,1463666669648.0,109422.0
7024.0,3.0,133.0,307082.0,0.0,881204.0,457419.0,5.0,2.0,0.0,1.0,1463666679648.0,109422.0
17024.0,3.0,83.0,317082.0,0.0,891204.0,467419.0,5.0,2.0,0.0,1.0,1463666689648.0,109422.0
27024.0,3.0,12.0,327082.0,0.0,901204.0,477419.0,5.0,2.0,0.0,1.0,1463666699648.0,109422.0
33.0,3.0,3.0,8844.0,0.0,911204.0,487419.0,5.0,2.0,1.0,3.0,1463666709648.0,65908.0
9491.0,3.0,74.0,18844.0,0.0,921204.0,497419.0,5.0,2.0,1.0,3.0,1463666719648.0,65908.0
19491.0,3.0,74.0,28844.0,0.0,931204.0,507419.0,5.0,2.0,1.0,3.0,1463666729648.0,65908.0
29491.0,3.0,73.0,38844.0,0.0,941204.0,517419.0,5.0,2.0,1.0,3.0,1463666739648.0,65908.0
39491.0,3.0,75.0,48844.0,0.0,951204.0,527419.0,5.0,2.0,1.0,2.0,1463666749648.0,65908.0
49491.0,3.0,27.0,58844.0,0.0,961204.0,537419.0,5.0,2.0,1.0,2.0,1463666759648.0,65908.0
6835.0,3.0,12.0,68844.0,0.0,971204.0,547419.0,5.0,2.0,1.0,2.0,1463666769648.0,65908.0
16835.0,3.0,12.0,78844.0,0.0,981204.0,557419.0,5.0,2.0,1.0,2.0,1463666779648.0,65908.0
26835.0,3.0,25.0,88844.0,0.0,991204.0,567419.0,5.0,2.0,1.0,2.0,1463666789648.0,65908.0
1993.0,3.0,11.0,98844.0,0.0,1001204.0,577419.0,5.0,2.0,2.0,2.0,1463666799648.0,65908.0
11993.0,3.0,8.0,108844.0,0.0,1011204.0,1870.0,5.0,2.0,0.0,1.0,1463666809648.0,65908.0
21993.0,3.0,8.0,118844.0,0.0,2761.0,2076.0,5.0,2.0,0.0,1.0,1463666819648.0,65908.0
31993.0,3.0,10.0,128844.0,0.0,12761.0,12076.0,5.0,2.0,0.0,1.0,1463666829648.0,65908.0
41993.0,3.0,9.0,138844.0,0.0,22761.0,22076.0,5.0,2.0,0.0,1.0,1463666839648.0,65908.0
51993.0,3.0,8.0,148844.0,0.0,32761.0,32076.0,5.0,2.0,0.0,1.0,1463666849648.0,65908.0
61993.0,3.0,3.0,158844.0,0.0,42761.0,42076.0,5.0,2.0,0.0,1.0,1463666859648.0,65908.0
71993.0,2.0,7.0,168844.0,0.0,52761.0,52076.0,5.0,2.0,0.0,1.0,1463666869648.0,65908.0
81993.0,2.0,8.0,178844.0,0.0,62761.0,62076.0,5.0,2.0,0.0,1.0,1463666879648.0,65908.0
91993.0,2.0,10.0,188844.0,0.0,72761.0,72076.0,5.0,2.0,0.0,1.0,1463666889648.0,65908.0
101993.0,2.0,10.0,198844.0,0.0,82761.0,82076.0,5.0,2.0,0.0,1.0,1463666899648.0,65908.0
111993.0,2.0,9.0,208844.0,0.0,92761.0,92076.0,5.0,2.0,0.0,1.0,1463666909648.0,65908.0
121993.0,2.0,9.0,218844.0,0.0,102761.0,102076.0,5.0,2.0,0.0,1.0,1463666919648.0,65908.0
131993.0,2.0,8.0,228844.0,0.0,112761.0,112076.0,5.0,2.0,0.0,1.0,1463666929648.0,65908.0
141993.0,2.0,10.0,238844.0,0.0,122761.0,122076.0,5.0,2.0,0.0,1.0,1463666939648.0,65908.0
151993.0,2.0,9.0,248844.0,0.0,132761.0,132076.0,5.0,2.0,0.0,1.0,1463666949648.0,65908.0
161993.0,2.0,9.0,258844.0,0.0,142761.0,142076.0,5.0,2.0,0.0,1.0,1463666959648.0,65908.0
171993.0,2.0,10.0,268844.0,0.0,152761.0,152076.0,5.0,2.0,0.0,1.0,1463666969648.0,65908.0
181993.0,2.0,10.0,278844.0,0.0,162761.0,162076.0,5.0,2.0,0.0,1.0,1463666979648.0,65908.0
191993.0,2.0,9.0,288844.0,0.0,172761.0,172076.0,5.0,2.0,0.0,1.0,1463666989648.0,65908.0
201993.0,2.0,10.0,298844.0,0.0,182761.0,182076.0,5.0,2.0,0.0,1.0,1463666999648.0,65908.0
